Organism,Seq,Positions,,,,,
Strepto,466,78-119,453-531,,,,
Strepto,467,407-459,,,,,
Strepto,468,6-89,352-408,415-463,521-599,,
Strepto,469,480-519,526-613,,,,
Strepto,470,424-476,,,,,
Strepto,471,,,,,,
Strepto,472,184-236,470-508,,,,
Strepto,473,241-285,,,,,
Strepto,474,384-452,476-603,,,,
Strepto,475,331-399,417-459,,,,
Strepto,476,313-405,417-559,,,,
Strepto,477,139-177,554-613,,,,
Strepto,478,445-567,,,,,
Strepto,479,66-113,473-590,,,,
Strepto,480,374-463,,,,,
Strepto,481,190-261,393-432,,,,
Strepto,482,313-524,,,,,
Strepto,483,308-400,406-460,,,,
Strepto,484,462-524,531-601,,,,
Strepto,485,125-161,386-451,,,,
Strepto,486,,,,,,
Strepto,487,,,,,,
Strepto,488,,,,,,
Strepto,489,329-387,,,,,
Strepto,490,,,,,,
Strepto,491,206-252,311-369,457-503,,,
Strepto,492,402-483,513-583,,,,
Strepto,493,175-242,392-495,,,,
Strepto,494,417-480,,,,,
Strepto,495,241-314,406-447,,,,
Strepto,496,383-460,,,,,
Strepto,497,71-113,,,,,
Strepto,498,83-127,180-225,401-510,558-613,,
Strepto,499,477-527,571-610,,,,
Strepto,500,348-483,,,,,
Strepto,501,418-465,,,,,
Strepto,502,409-471,,,,,
Strepto,503,451-492,573-613,,,,
Strepto,504,245-391,,,,,
Strepto,505,356-522,,,,,
Strepto,506,385-522,,,,,
Strepto,507,284-323,331-367,,,,
Strepto,508,219-322,396-447,,,,
Strepto,509,268-335,396-448,,,,
Strepto,510,387-473,,,,,
Strepto,511,,,,,,
Strepto,512,390-484,,,,,
Strepto,513,152-225,300-421,,,,
Strepto,514,343-489,531-572,,,,
Strepto,515,,,,,,
Strepto,516,133-201,369-411,,,,
Strepto,517,97-163,262-462,482-580,,,
Strepto,518,214-265,542-585,,,,
Strepto,519,420-579,,,,,
Strepto,520,21-198,276-319,376-429,,,
Strepto,521,371-479,,,,,
Strepto,522,484-548,564-613,,,,
Strepto,523,147-202,275-367,,,,
Strepto,524,375-513,,,,,
Strepto,525,416-502,,,,,
Strepto,526,99-198,,,,,
Strepto,527,382-483,,,,,
Strepto,528,,,,,,
Strepto,529,219-306,368-416,,,,
Strepto,530,473-553,,,,,
Strepto,531,455-494,,,,,
Strepto,532,205-336,340-389,425-490,,,
Strepto,533,317-404,454-552,,,,
Strepto,534,298-384,,,,,
Strepto,535,465-551,555-613,,,,
Strepto,536,416-464,,,,,
Strepto,537,364-408,416-489,,,,
Strepto,538,285-325,489-551,,,,
Strepto,539,364-423,,,,,
Strepto,540,379-444,,,,,
Strepto,541,513-570,,,,,
Strepto,542,301-430,,,,,
Strepto,543,269-331,402-443,,,,
Strepto,544,427-484,,,,,
Strepto,545,379-446,,,,,
Strepto,546,354-390,399-442,458-501,,,
Strepto,547,256-333,375-482,,,,
Strepto,548,358-399,,,,,
Strepto,549,342-493,,,,,
Strepto,550,325-392,403-542,,,,
Strepto,551,349-473,,,,,
Strepto,552,423-549,,,,,
Strepto,553,182-286,377-446,,,,
Strepto,554,286-336,398-454,,,,
Strepto,555,417-464,557-608,,,,
Strepto,556,369-477,518-609,,,,
Strepto,557,466-544,,,,,
Strepto,558,97-153,413-484,,,,
Strepto,559,387-558,,,,,
Strepto,560,269-315,369-438,,,,
Strepto,561,154-266,405-490,,,,
Strepto,562,396-471,,,,,
Strepto,563,389-498,,,,,
Strepto,564,263-337,,,,,
Strepto,565,420-498,,,,,
Strepto,566,475-536,,,,,
Strepto,567,399-464,,,,,
Strepto,568,1-50,466-509,,,,
Strepto,569,503-568,,,,,
Strepto,570,365-453,480-536,,,,
Strepto,571,356-416,420-522,,,,
Strepto,572,316-439,,,,,
Strepto,573,573-613,,,,,
Strepto,574,55-98,374-422,427-510,,,
Strepto,575,90-197,480-534,557-613,,,
Strepto,576,362-451,,,,,
Strepto,577,121-160,,,,,
Strepto,578,371-422,,,,,
Strepto,579,,,,,,
Strepto,580,,,,,,
Strepto,581,353-467,,,,,
Strepto,582,356-414,454-514,,,,
Strepto,583,178-248,271-381,,,,
Strepto,584,49-104,328-486,497-580,,,
Strepto,585,400-480,,,,,
Strepto,586,,,,,,
Strepto,587,306-468,,,,,
Strepto,588,500-561,,,,,
Strepto,589,217-274,,,,,
Strepto,590,0-38,189-293,334-371,,,
Strepto,591,228-397,,,,,
Strepto,592,376-502,,,,,
Strepto,593,410-477,,,,,
Strepto,594,362-457,463-499,,,,
Strepto,595,115-169,428-468,,,,
Strepto,596,389-449,,,,,
Strepto,597,451-510,,,,,
Strepto,598,386-613,,,,,
Strepto,599,415-521,,,,,
Strepto,600,313-456,,,,,
Strepto,601,383-461,,,,,
Strepto,602,9-54,135-188,274-359,,,
Strepto,603,372-460,,,,,
Strepto,604,398-562,,,,,
Strepto,605,40-102,398-455,495-613,,,
Strepto,606,346-465,,,,,
Strepto,607,381-428,,,,,
Strepto,608,0-66,,,,,
Strepto,609,294-450,,,,,
Strepto,610,388-564,,,,,
Strepto,611,,,,,,
Strepto,612,444-586,,,,,
Strepto,613,0-42,313-523,,,,
Strepto,614,109-153,514-613,,,,
Strepto,615,418-496,551-613,,,,
Strepto,616,356-591,,,,,
Strepto,617,,,,,,
Strepto,618,206-244,,,,,
Strepto,619,344-445,461-542,,,,
Strepto,620,357-488,,,,,
Strepto,621,102-157,,,,,
Strepto,622,323-480,,,,,
Strepto,623,,,,,,
Strepto,624,369-428,458-549,,,,
Strepto,625,345-451,,,,,
Strepto,626,151-194,368-470,,,,
Strepto,627,377-477,,,,,
Strepto,628,354-434,,,,,
Strepto,629,216-266,394-555,,,,
Strepto,630,351-451,458-496,,,,
Strepto,631,61-149,,,,,
Strepto,632,327-420,,,,,
Strepto,633,252-361,,,,,
Strepto,634,376-447,,,,,
Strepto,635,,,,,,
Strepto,636,295-464,,,,,
Strepto,637,425-465,,,,,
Strepto,638,406-470,,,,,
Strepto,639,,,,,,
Strepto,640,84-235,254-294,298-345,,,
Strepto,641,236-292,,,,,
Strepto,642,531-613,,,,,
Strepto,643,331-410,,,,,
Strepto,644,320-376,381-437,446-485,565-613,,
Strepto,645,235-274,,,,,
Strepto,646,269-353,458-538,,,,
Strepto,647,345-438,,,,,
Strepto,648,5-53,499-558,,,,
Strepto,649,115-209,536-613,,,,
Strepto,650,95-175,344-426,,,,
Strepto,651,445-491,,,,,
Strepto,652,269-339,429-496,,,,
Strepto,653,434-482,,,,,
Strepto,654,184-452,,,,,
Strepto,655,487-613,,,,,
Strepto,656,83-141,283-365,,,,
Strepto,657,397-487,,,,,
Strepto,658,1-37,115-170,438-564,570-613,,
Strepto,659,279-351,,,,,
Strepto,660,382-461,,,,,
Strepto,661,,,,,,
Strepto,662,145-185,449-568,,,,
Strepto,663,62-147,537-573,,,,
Strepto,664,259-302,360-499,507-613,,,
Strepto,665,5-65,355-444,,,,
Strepto,666,392-452,,,,,
Strepto,667,286-344,382-454,487-540,,,
Strepto,668,414-465,479-546,,,,
Strepto,669,244-288,405-492,,,,
Strepto,670,289-345,400-442,,,,
Strepto,671,398-472,,,,,
Strepto,672,198-266,367-455,561-613,,,
Strepto,673,373-442,446-551,,,,
Strepto,674,357-477,,,,,
Strepto,675,351-501,,,,,
Strepto,676,476-568,,,,,
Strepto,677,,,,,,
Strepto,678,,,,,,
Strepto,679,,,,,,
Strepto,680,343-399,,,,,
Strepto,681,328-439,545-600,,,,
Strepto,682,448-525,549-613,,,,
Strepto,683,11-54,393-430,434-480,,,
Strepto,684,400-461,,,,,
Strepto,685,293-338,,,,,
Strepto,686,,,,,,
Strepto,687,,,,,,
Strepto,688,35-92,477-533,564-613,,,
Strepto,689,284-329,397-457,,,,
Strepto,690,320-438,,,,,
Strepto,691,354-518,,,,,
Strepto,692,,,,,,
Strepto,693,402-471,,,,,
Strepto,694,75-180,355-479,,,,
Strepto,695,0-73,,,,,
Strepto,696,200-320,,,,,
Strepto,697,,,,,,
Strepto,698,400-444,,,,,
Strepto,699,239-317,,,,,
Strepto,700,358-435,531-613,,,,
Strepto,701,432-506,,,,,
Strepto,702,182-225,276-370,512-550,,,
Strepto,703,439-477,,,,,
Strepto,704,150-186,313-408,463-510,,,
Strepto,705,518-574,,,,,
Strepto,706,344-450,,,,,
Strepto,707,452-495,,,,,
Strepto,708,,,,,,
Strepto,709,491-533,,,,,
Strepto,710,,,,,,
Strepto,711,324-436,,,,,
Strepto,712,466-526,,,,,
Strepto,713,343-446,567-612,,,,
Strepto,714,443-523,554-613,,,,
Strepto,715,214-290,344-463,,,,
Strepto,716,503-613,,,,,
Strepto,717,368-445,,,,,
Strepto,718,365-477,,,,,
Strepto,719,,,,,,
Strepto,720,388-435,,,,,
Strepto,721,237-333,355-395,461-497,,,
Strepto,722,410-483,,,,,
Strepto,723,394-439,,,,,
Strepto,724,408-482,,,,,
Strepto,725,122-222,335-391,,,,
Strepto,726,276-361,372-412,428-482,,,
Strepto,727,423-530,,,,,
Strepto,728,245-331,,,,,
Strepto,729,,,,,,
Strepto,730,384-459,,,,,
Strepto,731,410-465,574-613,,,,
Strepto,732,,,,,,
Strepto,733,260-307,,,,,
Strepto,734,234-297,325-444,,,,
Strepto,735,79-188,530-581,,,,
Strepto,736,,,,,,
Strepto,737,,,,,,
Strepto,738,294-339,377-461,,,,
Strepto,739,449-584,,,,,
Strepto,740,354-423,,,,,
Strepto,741,84-120,370-522,,,,
Strepto,742,301-402,416-480,,,,
Strepto,743,560-613,,,,,
Strepto,744,258-311,418-469,,,,
Strepto,745,349-396,,,,,
Strepto,746,123-189,273-367,,,,
Strepto,747,486-583,,,,,
Strepto,748,133-201,,,,,
Strepto,749,118-154,273-332,,,,
Strepto,750,342-495,,,,,
Strepto,751,290-427,452-537,,,,
Strepto,752,239-288,437-494,,,,
Strepto,753,348-470,,,,,
Strepto,754,353-458,527-588,,,,
Strepto,755,347-507,,,,,
Strepto,756,501-608,,,,,
Strepto,757,,,,,,
Strepto,758,284-456,,,,,
Strepto,759,446-488,,,,,
Strepto,760,373-414,,,,,
Strepto,761,199-438,511-613,,,,
Strepto,762,,,,,,
Strepto,763,251-379,438-538,,,,
Strepto,764,265-353,416-459,,,,
Strepto,765,365-417,448-502,,,,
Strepto,766,325-378,455-491,,,,
Strepto,767,0-99,400-444,,,,
Strepto,768,401-490,,,,,
Strepto,769,401-463,,,,,
Strepto,770,302-398,,,,,
Strepto,771,423-464,,,,,
Strepto,772,196-265,299-409,,,,
Strepto,773,384-467,,,,,
Strepto,774,240-278,,,,,
Strepto,775,210-272,412-449,,,,
Strepto,776,383-461,466-564,,,,
Strepto,777,,,,,,
Strepto,778,64-158,267-363,502-548,,,
Strepto,779,,,,,,
Strepto,780,381-444,,,,,
Strepto,781,484-540,,,,,
Strepto,782,143-206,386-422,,,,
Strepto,783,42-135,,,,,
Strepto,784,537-613,,,,,
Strepto,785,241-370,,,,,
Strepto,786,137-178,246-323,,,,
Strepto,787,416-505,552-607,,,,
Strepto,788,,,,,,
Strepto,789,358-482,,,,,
Strepto,790,129-167,383-463,,,,
Strepto,791,390-452,,,,,
Strepto,792,351-509,,,,,
Strepto,793,560-613,,,,,
Strepto,794,464-542,,,,,
Strepto,795,351-480,,,,,
Strepto,796,265-321,,,,,
Strepto,797,353-400,404-494,,,,
Strepto,798,566-604,,,,,
Strepto,799,,,,,,
Strepto,800,408-551,,,,,
Strepto,801,528-613,,,,,
Strepto,802,,,,,,
Strepto,803,15-109,305-349,,,,
Strepto,804,344-456,,,,,
Strepto,805,394-452,500-553,,,,
Strepto,806,0-56,,,,,
Strepto,807,381-427,548-601,,,,
Strepto,808,332-471,,,,,
Strepto,809,299-338,380-450,,,,
Strepto,810,,,,,,
Strepto,811,375-546,,,,,
Strepto,812,336-395,,,,,
Strepto,813,330-390,401-489,542-610,,,
Strepto,814,329-486,,,,,
Strepto,815,175-242,,,,,
Strepto,816,147-194,,,,,
Strepto,817,194-269,410-474,,,,
Strepto,818,328-507,,,,,
Strepto,819,305-387,399-469,,,,
Strepto,820,542-591,,,,,
Strepto,821,137-174,297-362,,,,
Strepto,822,332-488,,,,,
Strepto,823,,,,,,
Strepto,824,160-214,,,,,
Strepto,825,248-316,350-426,,,,
Strepto,826,333-390,,,,,
Strepto,827,305-459,,,,,
Strepto,828,183-242,292-344,359-453,,,
Strepto,829,399-490,,,,,
Strepto,830,173-276,405-490,,,,
Strepto,831,262-301,306-477,,,,
Strepto,832,365-509,,,,,
Strepto,833,0-46,,,,,
Strepto,834,389-427,,,,,
Strepto,835,11-99,104-171,471-522,,,
Strepto,836,386-503,,,,,
Strepto,837,462-525,,,,,
Strepto,838,359-531,,,,,
Strepto,839,12-107,,,,,
Strepto,840,157-195,375-458,560-598,,,
Strepto,841,370-458,531-613,,,,
Strepto,842,158-279,,,,,
Strepto,843,353-417,,,,,
Strepto,844,,,,,,
Strepto,845,,,,,,
Strepto,846,547-604,,,,,
Strepto,847,429-498,,,,,
Strepto,848,415-461,,,,,
Strepto,849,365-437,,,,,
Strepto,850,101-190,429-477,,,,
Strepto,851,418-474,,,,,
Strepto,852,79-138,485-606,,,,
Strepto,853,573-613,,,,,
Strepto,854,129-258,459-511,,,,
Strepto,855,314-450,,,,,
Strepto,856,320-494,,,,,
Strepto,857,337-402,411-473,,,,
Strepto,858,337-519,,,,,
Strepto,859,,,,,,
Strepto,860,158-231,,,,,
Strepto,861,477-547,,,,,
Strepto,862,345-404,409-446,,,,
Strepto,863,526-608,,,,,
Strepto,864,366-446,497-584,,,,
Strepto,865,0-38,417-490,,,,
Strepto,866,385-522,562-603,,,,
Strepto,867,243-343,,,,,
Strepto,868,,,,,,
Strepto,869,276-374,542-613,,,,
Strepto,870,394-475,,,,,
Strepto,871,0-42,,,,,
Strepto,872,395-497,,,,,
Strepto,873,297-427,,,,,
Strepto,874,74-136,,,,,
Strepto,875,419-479,,,,,
Strepto,876,381-419,,,,,
Strepto,877,118-216,410-459,,,,
Strepto,878,108-206,,,,,
Strepto,879,,,,,,
Strepto,880,85-175,302-347,412-477,,,
Strepto,881,257-301,,,,,
Strepto,882,411-476,,,,,
Strepto,883,270-320,331-371,466-510,,,
Strepto,884,100-178,283-376,453-507,,,
Strepto,885,,,,,,
Strepto,886,536-586,,,,,
Strepto,887,292-372,,,,,
Strepto,888,247-340,,,,,
Strepto,889,,,,,,
Strepto,890,357-577,,,,,
Strepto,891,329-417,443-505,,,,
Strepto,892,80-140,,,,,
Strepto,893,171-271,426-488,,,,
Strepto,894,237-320,,,,,
Strepto,895,239-319,335-390,,,,
Strepto,896,80-117,399-482,,,,
Strepto,897,351-508,,,,,
Strepto,898,338-427,436-484,504-606,,,
Strepto,899,522-566,,,,,
Strepto,900,328-431,,,,,
Strepto,901,213-304,,,,,
Strepto,902,400-444,449-517,,,,
Strepto,903,425-504,,,,,
Strepto,904,453-596,,,,,
Strepto,905,158-219,411-553,,,,
Strepto,906,0-62,506-574,,,,
Strepto,907,37-120,251-294,,,,
Strepto,908,285-428,,,,,
Strepto,909,,,,,,
Strepto,910,251-329,,,,,
Strepto,911,,,,,,
Strepto,912,564-613,,,,,
Strepto,913,316-380,385-429,,,,
Strepto,914,80-208,260-351,,,,
Strepto,915,372-465,,,,,
Strepto,916,154-213,358-477,,,,
Strepto,917,201-259,475-541,,,,
Strepto,918,368-438,,,,,
Strepto,919,365-455,463-504,,,,
Strepto,920,563-613,,,,,
Strepto,921,501-551,,,,,
Strepto,922,153-204,362-465,,,,
Strepto,923,337-420,549-606,,,,
Strepto,924,286-353,382-443,,,,
Strepto,925,141-183,232-283,453-613,,,
Strepto,926,364-520,,,,,
Strepto,927,420-467,,,,,
Strepto,928,151-213,305-355,,,,
Strepto,929,486-546,,,,,
Strepto,930,26-126,342-393,,,,
Strepto,931,155-255,386-516,,,,
Strepto,932,304-400,439-475,,,,
Strepto,933,326-373,387-460,,,,
Strepto,934,321-417,,,,,
Strepto,935,395-445,,,,,
Strepto,936,380-474,,,,,
Strepto,937,386-511,,,,,
Strepto,938,84-139,414-504,,,,
Strepto,939,294-338,565-613,,,,
Strepto,940,187-263,491-552,,,,
Strepto,941,391-450,,,,,
Strepto,942,0-49,348-476,,,,
Strepto,943,177-333,,,,,
Strepto,944,482-542,,,,,
Strepto,945,215-439,,,,,
Strepto,946,20-92,371-462,,,,
Strepto,947,355-413,,,,,
Strepto,948,388-439,,,,,
Strepto,949,470-560,,,,,
Strepto,950,0-49,61-152,,,,
Strepto,951,218-326,393-488,,,,
Strepto,952,234-339,383-464,,,,
Strepto,953,364-453,,,,,
Strepto,954,386-451,,,,,
Strepto,955,275-363,369-502,,,,
Strepto,956,363-418,446-486,,,,
Strepto,957,486-581,,,,,
Strepto,958,179-225,231-528,,,,
Strepto,959,352-445,,,,,
Strepto,960,390-476,567-605,,,,
Strepto,961,351-498,,,,,
Strepto,962,270-384,,,,,
Strepto,963,,,,,,
Strepto,964,300-364,,,,,
Strepto,965,434-480,,,,,
Strepto,966,312-409,,,,,
Strepto,967,,,,,,
Strepto,968,419-479,,,,,
Strepto,969,127-183,356-401,502-581,,,
Strepto,970,387-504,,,,,
Strepto,971,289-481,,,,,
Strepto,972,401-525,,,,,
Strepto,973,,,,,,
Strepto,974,,,,,,
Strepto,975,7-112,185-228,284-449,,,
Strepto,976,398-458,523-580,,,,
Strepto,977,245-283,294-402,,,,
Strepto,978,285-479,,,,,
Strepto,979,507-543,,,,,
Strepto,980,289-491,,,,,
Strepto,981,381-575,,,,,
Strepto,982,422-463,,,,,
Strepto,983,320-411,,,,,
Strepto,984,398-465,,,,,
Strepto,985,0-53,220-300,404-489,,,
Strepto,986,493-542,,,,,
Strepto,987,386-467,471-545,,,,
Strepto,988,168-539,,,,,
Strepto,989,386-446,565-613,,,,
Strepto,990,181-255,369-487,,,,
Strepto,991,365-613,,,,,
Strepto,992,402-492,,,,,
Strepto,993,397-467,,,,,
Strepto,994,380-517,,,,,
Strepto,995,22-119,,,,,
Strepto,996,185-248,405-547,,,,
Strepto,997,,,,,,
Strepto,998,410-472,,,,,
Strepto,999,362-413,,,,,
Strepto,1000,516-567,,,,,
Strepto,1001,386-440,481-533,,,,
Strepto,1002,77-145,215-259,,,,
Strepto,1003,389-520,,,,,
Strepto,1004,342-405,,,,,
Strepto,1005,172-224,462-532,,,,
Strepto,1006,394-460,,,,,
Strepto,1007,90-148,225-290,475-529,,,
Strepto,1008,352-472,,,,,
Strepto,1009,376-453,,,,,
Strepto,1010,404-461,,,,,
Strepto,1011,22-102,,,,,
Strepto,1012,276-381,385-479,,,,
Strepto,1013,243-291,,,,,
Strepto,1014,378-479,,,,,
Strepto,1015,204-241,,,,,
Strepto,1016,289-382,414-529,,,,
Strepto,1017,447-578,,,,,
Strepto,1018,434-562,,,,,
Strepto,1019,396-484,,,,,
Strepto,1020,341-383,417-464,,,,
Strepto,1021,,,,,,
Strepto,1022,307-459,,,,,
Strepto,1023,463-549,,,,,
Strepto,1024,368-497,,,,,
Strepto,1025,18-88,258-299,363-488,,,
Strepto,1026,421-485,,,,,
Strepto,1027,151-197,217-311,389-430,,,
Strepto,1028,355-443,,,,,
Strepto,1029,342-404,,,,,
Strepto,1030,,,,,,
Strepto,1031,261-312,393-434,,,,
Strepto,1032,,,,,,
Strepto,1033,157-241,,,,,
Strepto,1034,310-377,560-613,,,,
Strepto,1035,107-162,325-448,,,,
Strepto,1036,101-150,303-349,,,,
Strepto,1037,390-473,,,,,
Strepto,1038,271-356,378-480,,,,
Strepto,1039,118-246,,,,,
Strepto,1040,103-186,,,,,
Strepto,1041,464-544,,,,,
Strepto,1042,,,,,,
Strepto,1043,24-108,277-323,,,,
Strepto,1044,228-289,387-435,,,,
Strepto,1045,405-448,,,,,
Strepto,1046,407-477,,,,,
Strepto,1047,241-348,,,,,
Strepto,1048,43-82,303-388,558-611,,,
Strepto,1049,50-125,,,,,
Strepto,1050,373-508,,,,,
Strepto,1051,351-470,,,,,
Strepto,1052,211-288,,,,,
Strepto,1053,328-434,507-563,,,,
Strepto,1054,,,,,,
Strepto,1055,469-554,,,,,
Strepto,1056,163-231,277-417,,,,
Strepto,1057,324-468,,,,,
Strepto,1058,381-462,,,,,
Strepto,1059,460-613,,,,,
Strepto,1060,320-447,,,,,
Strepto,1061,525-562,,,,,
Strepto,1062,390-470,,,,,
Strepto,1063,337-454,,,,,
Strepto,1064,326-411,,,,,
Strepto,1065,344-477,,,,,
Strepto,1066,392-450,555-609,,,,
Strepto,1067,536-613,,,,,
Strepto,1068,,,,,,
Strepto,1069,,,,,,
Strepto,1070,438-489,,,,,
Strepto,1071,361-447,467-575,,,,
Strepto,1072,436-472,495-538,,,,
Strepto,1073,487-563,,,,,
Strepto,1074,349-456,536-603,,,,
Strepto,1075,40-99,392-448,,,,
Strepto,1076,306-408,,,,,
Strepto,1077,404-460,,,,,
Strepto,1078,309-491,,,,,
Strepto,1079,348-467,486-606,,,,
Strepto,1080,315-487,,,,,
Strepto,1081,132-173,236-392,,,,
Strepto,1082,333-427,,,,,
Strepto,1083,339-420,,,,,
Strepto,1084,442-593,,,,,
Strepto,1085,262-341,,,,,
Strepto,1086,308-447,495-550,,,,
Strepto,1087,289-364,512-550,,,,
Strepto,1088,61-102,164-292,345-394,,,
Strepto,1089,325-447,,,,,
Strepto,1090,,,,,,
Strepto,1091,321-531,,,,,
Strepto,1092,233-279,367-470,,,,
Strepto,1093,340-376,383-419,546-613,,,
Strepto,1094,286-547,,,,,
Strepto,1095,407-509,,,,,
Strepto,1096,221-269,304-377,,,,
Strepto,1097,237-280,,,,,
Strepto,1098,522-608,,,,,
Strepto,1099,176-300,,,,,
Strepto,1100,494-565,,,,,
Strepto,1101,365-469,,,,,
Strepto,1102,,,,,,
Strepto,1103,,,,,,
Strepto,1104,388-436,,,,,
Strepto,1105,272-343,,,,,
Strepto,1106,561-613,,,,,
Strepto,1107,401-501,,,,,
Strepto,1108,,,,,,
Strepto,1109,464-569,,,,,
Strepto,1110,,,,,,
Strepto,1111,462-545,,,,,
Strepto,1112,167-216,430-477,,,,
Strepto,1113,309-359,374-468,,,,
Strepto,1114,353-423,564-605,,,,
Strepto,1115,180-235,350-418,,,,
Strepto,1116,24-79,,,,,
Strepto,1117,65-110,466-510,,,,
Strepto,1118,457-582,,,,,
Strepto,1119,,,,,,
Strepto,1120,380-459,,,,,
Strepto,1121,189-310,314-450,,,,
Strepto,1122,422-476,486-542,,,,
Strepto,1123,,,,,,
Strepto,1124,414-462,,,,,
Strepto,1125,303-461,555-613,,,,
Strepto,1126,101-139,287-476,,,,
Strepto,1127,285-360,380-446,,,,
Strepto,1128,423-562,,,,,
Strepto,1129,269-442,,,,,
Strepto,1130,205-294,361-460,,,,
Strepto,1131,296-389,,,,,
Strepto,1132,,,,,,
Strepto,1133,57-133,211-253,483-535,,,
Strepto,1134,271-447,,,,,
Strepto,1135,413-501,,,,,
Strepto,1136,418-468,,,,,
Strepto,1137,195-265,358-430,,,,
Strepto,1138,336-416,432-468,,,,
Strepto,1139,0-53,,,,,
Strepto,1140,370-425,,,,,
Strepto,1141,383-512,,,,,
Strepto,1142,378-440,,,,,
Strepto,1143,356-437,,,,,
Strepto,1144,389-435,,,,,
Strepto,1145,476-536,,,,,
Strepto,1146,412-456,,,,,
Strepto,1147,371-434,,,,,
Strepto,1148,379-457,,,,,
Strepto,1149,317-384,455-513,,,,
Strepto,1150,416-482,,,,,
Strepto,1151,298-534,,,,,
Strepto,1152,411-455,,,,,
Strepto,1153,17-76,440-482,,,,
Strepto,1154,396-531,,,,,
Strepto,1155,33-84,351-477,,,,
Strepto,1156,351-453,,,,,
Strepto,1157,421-468,,,,,
Strepto,1158,251-344,,,,,
Strepto,1159,361-439,,,,,
Strepto,1160,545-596,,,,,
Strepto,1161,19-61,215-311,428-466,,,
Strepto,1162,192-282,404-467,,,,
Strepto,1163,348-438,,,,,
Strepto,1164,215-253,418-455,461-507,,,
Strepto,1165,222-340,,,,,
Strepto,1166,,,,,,
Strepto,1167,67-173,234-369,559-599,,,
Strepto,1168,345-466,,,,,
Strepto,1169,376-496,,,,,
Strepto,1170,0-58,417-467,536-598,,,
Strepto,1171,209-300,528-613,,,,
Strepto,1172,162-209,,,,,
Strepto,1173,520-602,,,,,
Strepto,1174,472-522,,,,,
Strepto,1175,0-44,557-600,,,,
Strepto,1176,437-539,,,,,
Strepto,1177,19-62,397-454,488-540,,,
Strepto,1178,396-448,,,,,
Strepto,1179,558-613,,,,,
Strepto,1180,443-531,,,,,
Strepto,1181,438-486,,,,,
Strepto,1182,523-595,,,,,
Strepto,1183,357-491,,,,,
Strepto,1184,384-459,,,,,
Strepto,1185,359-480,,,,,
Strepto,1186,387-433,,,,,
Strepto,1187,411-493,,,,,
Strepto,1188,483-548,,,,,
Strepto,1189,364-478,,,,,
Strepto,1190,362-534,,,,,
Strepto,1191,354-467,,,,,
Strepto,1192,364-462,,,,,
Strepto,1193,360-425,,,,,
Strepto,1194,333-452,,,,,
Strepto,1195,384-454,484-521,,,,
Strepto,1196,488-547,559-602,,,,
Strepto,1197,250-295,,,,,
Strepto,1198,224-282,355-430,435-530,,,
Strepto,1199,65-108,394-448,,,,
Strepto,1200,318-467,,,,,
Strepto,1201,360-454,,,,,
Strepto,1202,421-495,,,,,
Strepto,1203,386-480,,,,,
Strepto,1204,400-503,,,,,
Strepto,1205,411-469,,,,,
Strepto,1206,319-379,411-488,,,,
Strepto,1207,,,,,,
Strepto,1208,535-613,,,,,
Strepto,1209,444-496,,,,,
Strepto,1210,304-465,,,,,
Strepto,1211,391-475,,,,,
Strepto,1212,280-337,350-423,,,,
Strepto,1213,,,,,,
Strepto,1214,220-279,,,,,
Strepto,1215,306-386,417-470,536-601,,,
Strepto,1216,374-470,,,,,
Strepto,1217,398-512,516-559,,,,
Strepto,1218,510-579,,,,,
Strepto,1219,219-312,423-502,571-613,,,
Strepto,1220,169-226,351-495,,,,
Strepto,1221,47-97,181-272,293-330,422-562,,
Strepto,1222,364-418,,,,,
Strepto,1223,445-537,,,,,
Strepto,1224,408-537,,,,,
Strepto,1225,355-442,,,,,
Strepto,1226,365-420,,,,,
Strepto,1227,258-303,373-450,,,,
Strepto,1228,375-448,,,,,
Strepto,1229,396-434,,,,,
Strepto,1230,74-131,,,,,
Strepto,1231,110-209,342-440,,,,
Strepto,1232,,,,,,
Strepto,1233,272-473,,,,,
Strepto,1234,,,,,,
Strepto,1235,355-450,,,,,
Strepto,1236,227-402,,,,,
Strepto,1237,376-440,520-557,,,,
Strepto,1238,,,,,,
Strepto,1239,149-189,376-481,,,,
Strepto,1240,,,,,,
Strepto,1241,389-465,,,,,
Strepto,1242,401-498,,,,,
Strepto,1243,555-599,,,,,
Strepto,1244,428-494,,,,,
Strepto,1245,302-473,,,,,
Strepto,1246,268-334,,,,,
Strepto,1247,,,,,,
Strepto,1248,399-436,,,,,
Strepto,1249,298-354,,,,,
Strepto,1250,,,,,,
Strepto,1251,361-448,,,,,
Strepto,1252,388-449,,,,,
Strepto,1253,261-337,424-521,,,,
Strepto,1254,234-383,,,,,
Strepto,1255,84-140,490-591,,,,
Strepto,1256,324-448,547-609,,,,
Strepto,1257,369-460,523-613,,,,
Strepto,1258,237-337,377-435,444-507,,,
Strepto,1259,385-467,,,,,
Strepto,1260,117-170,,,,,
Strepto,1261,379-452,514-576,,,,
Strepto,1262,,,,,,
Strepto,1263,337-447,,,,,
Strepto,1264,,,,,,
Strepto,1265,517-609,,,,,
Strepto,1266,254-319,385-527,,,,
Strepto,1267,0-95,498-571,,,,
Strepto,1268,400-511,,,,,
Strepto,1269,370-435,550-596,,,,
Strepto,1270,,,,,,
Strepto,1271,400-450,,,,,
Strepto,1272,315-358,424-478,,,,
